Year,Month,Total,Average,Min,Max
2010,10,255.0,14.166667,40.4,0.0
2010,11,267.8,15.75294,57.6,0.0
2010,12,446.40002,24.800001,101.6,0.0
2011,1,601.39996,28.638094,111.0,0.0
2011,2,991.39996,43.104347,182.2,0.0
2011,3,520.2,26.01,145.2,0.0
2011,4,58.0,5.2727275,14.4,0.0
2011,5,11.6,2.3200002,3.4,0.0
2011,6,84.799995,16.96,60.6,0.0
2011,7,13.200001,2.64,7.4,0.0
2011,8,19.6,2.8,5.6,0.0
2011,9,16.6,5.5333333,8.6,0.0
2011,10,430.6,61.514286,189.2,0.0
2011,11,115.40001,7.693334,36.2,0.0
2011,12,245.4,14.435294,57.4,0.0
2012,1,253.20001,14.066668,65.4,0.0
2012,2,383.80002,22.576471,55.4,0.0
2012,3,1206.0001,52.434788,226.8,0.0
2012,4,131.4,16.425,43.2,0.0
2012,5,167.0,16.7,97.4,0.0
2012,6,34.2,5.7000003,22.8,0.0
2012,7,51.8,12.95,44.6,0.0
2012,8,14.4,2.3999999,8.2,0.0
2012,9,22.599998,2.511111,9.4,0.0
2012,10,58.800003,7.3500004,22.2,0.0
2012,11,34.2,3.42,13.4,0.0
2012,12,37.600002,4.7000003,9.0,0.0
2013,1,467.2,24.589474,165.8,0.0
2013,2,219.2,12.177777,60.0,0.0
2013,3,349.0,18.368422,69.0,0.0
2013,4,102.4,7.876923,38.8,0.0
2013,5,199.6,10.505263,58.6,0.0
2013,6,17.0,2.4285715,3.6,0.0
2013,7,59.4,3.4941177,14.4,0.0
2013,8,6.7999997,2.2666667,3.6,0.0
2013,9,33.8,4.8285713,13.2,0.0
2013,10,40.6,5.7999997,26.8,0.0
2013,11,210.6,15.042857,52.2,0.0
2013,12,90.200005,6.013334,21.2,0.0
2014,1,338.60004,22.573336,72.4,0.0
2014,2,487.8,20.324999,69.0,0.0
2014,3,331.59998,16.579998,102.6,0.0
2014,4,373.60004,23.350002,145.2,0.0
2014,5,114.600006,6.366667,28.6,0.0
2014,6,80.60001,6.2000012,27.8,0.0
2014,7,26.6,2.418182,6.6,0.0
2014,8,32.0,3.5555556,13.8,0.0
2014,9,6.8,1.7,3.0,0.0
2014,10,8.0,2.6666667,4.8,0.0
2014,11,9.4,2.35,3.2,0.0
2014,12,85.19999,10.649999,66.6,0.0
2015,1,324.4,19.082352,68.8,0.0
2015,2,702.3999,39.022217,243.2,0.0
2015,3,288.6,41.228573,114.4,0.0
2015,4,79.200005,7.2000003,28.4,0.0
2015,5,26.6,4.4333334,9.4,0.0
2015,6,198.20001,11.658824,43.6,0.0
2015,7,30.799997,3.422222,8.0,0.0
2015,8,10.0,5.0,7.2,0.0
2015,9,22.8,4.56,13.8,0.0
2015,10,62.000004,6.2000003,12.4,0.0
2015,11,99.2,9.92,25.6,0.0
2015,12,383.40002,23.962502,83.6,0.0
2016,1,109.2,9.927273,31.8,0.0
2016,2,150.40001,12.533334,59.8,0.0
2016,3,310.4,23.876923,69.4,0.0
2016,4,147.4,13.4,35.8,0.0
2016,5,220.40001,20.036364,116.0,0.0
2016,6,81.6,9.066667,23.0,0.0
2016,7,135.8,16.975,69.0,0.0
2016,8,38.2,4.2444444,7.8,0.0
2016,9,72.6,7.2599998,30.2,0.0
2016,10,31.0,6.2,18.2,0.0
2016,11,17.0,3.4,8.2,0.0
2016,12,180.59999,20.066666,89.6,0.0
2017,1,310.80002,16.357895,50.8,0.0
2017,2,433.0,72.166664,135.2,27.2
